1,28.3
1,26.0
0,25.6
0,21.0
1,29.0
1,25.0
0,26.2
0,24.9
1,25.7
1,27.5
1,26.1
1,28.9
1,30.3
1,22.9
1,26.2
1,24.5
1,30.0
1,26.2
1,25.4
1,25.4
0,27.5
1,27.0
0,24.0
0,28.7
0,22.5
0,23.8
0,24.3
1,26.0
0,24.7
1,22.5
1,28.7
1,29.3
1,26.7
0,23.4
1,27.7
1,28.2
1,24.7
1,25.7
0,27.8
1,27.0
1,29.0
1,25.6
0,24.2
0,25.7
0,23.1
0,28.5
1,29.7
0,23.1
1,26.0
0,24.7
0,25.8
1,27.1
1,27.4
1,26.7
1,26.8
0,25.8
0,23.7
1,27.9
1,30.0
1,25.0
1,27.7
1,28.3
0,25.5
1,26.0
0,26.2
1,23.0
0,22.9
1,25.1
1,25.9
0,25.5
0,26.8
1,29.0
0,24.8
0,23.7
1,28.2
1,25.2
1,23.2
1,25.8
0,27.5
0,25.7
0,26.8
1,27.5
1,28.5
1,28.5
1,27.4
1,27.2
0,27.1
1,28.0
0,26.5
0,23.0
1,26.0
0,24.5
0,25.8
0,23.5
0,26.7
0,25.5
1,26.5
1,24.5
1,27.3
1,26.5
1,25.0
0,22.0
1,30.2
0,25.4
1,24.9
1,25.8
1,27.2
1,30.5
1,25.0
1,30.0
0,22.9
1,23.9
1,26.0
0,25.8
1,29.0
0,26.5
1,24.5
1,27.5
1,26.3
1,27.8
1,31.9
1,25.0
0,26.2
1,28.4
1,24.5
1,27.9
1,25.0
1,29.0
1,31.7
1,27.6
0,24.5
0,23.8
1,28.2
0,24.1
0,28.0
1,28.5
1,24.7
1,29.0
1,27.0
0,23.7
1,27.0
1,24.2
1,22.5
0,25.1
0,24.9
1,27.5
0,24.3
1,29.5
0,26.2
1,24.7
1,29.8
0,25.7
1,26.2
0,27.0
1,28.2
1,25.2
1,25.3
0,25.7
1,29.3
1,23.8
1,27.4
1,26.2
1,28.0
1,28.4
1,33.5
0,25.8
1,24.0
0,23.1
0,28.3
1,26.5
1,26.5
1,26.1
0,24.5
